Name,Two-Bridge Notation,Signature,Determinant
3_1,3/1,-2,3
4_1,5/2,0,5
5_1,5/1,-4,5
5_2,7/3,-2,7
6_1,9/7,0,9
6_2,11/4,-2,11
6_3,13/5,0,13
7_1,7/1,-6,7
7_2,11/5,-2,11
7_3,13/9,-4,13
7_4,15/11,-2,15
7_5,17/7,-4,17
7_6,19/7,-2,19
7_7,21/8,0,21
8_1,13/11,0,13
8_2,17/6,-4,17
8_3,17/4,0,17
8_4,19/14,2,19
8_5,,-4,21
8_6,23/10,-2,23
8_7,23/9,2,23
8_8,25/9,0,25
8_9,25/7,0,25
8_10,,2,27
8_11,27/10,-2,27
8_12,29/12,0,29
8_13,29/11,0,29
8_14,31/12,-2,31
8_15,,-4,33
8_16,,2,35
8_17,,0,37
8_18,,0,45
8_19,,-6,3
8_20,,0,9
8_21,,-2,15
9_1,9/1,-8,9
9_2,15/7,-2,15
9_3,19/13,-6,19
9_4,21/5,-4,21
9_5,23/17,-2,23
9_6,27/5,-6,27
9_7,29/13,-4,29
9_8,31/11,-2,31
9_9,31/9,-6,31
9_10,33/23,-4,33
9_11,33/14,4,33
9_12,35/13,-2,35
9_13,37/27,-4,37
9_14,37/14,0,37
9_15,39/16,2,39
9_16,,-6,39
9_17,39/14,-2,39
9_18,41/17,-4,41
9_19,41/16,0,41
9_20,41/15,-4,41
9_21,43/18,2,43
9_22,,-2,43
9_23,45/19,-4,45
9_24,,0,45
9_25,,-2,47
9_26,47/18,2,47
9_27,49/19,0,49
9_28,,-2,51
9_29,,2,51
9_30,,0,53
9_31,55/21,-2,55
9_32,,2,59
9_33,,0,61
9_34,,0,69
9_35,,-2,27
9_36,,4,37
9_37,,0,45
9_38,,-4,57
9_39,,2,55
9_40,,-2,75
9_41,,0,49
9_42,,2,7
9_43,,-4,13
9_44,,0,17
9_45,,2,23
9_46,,0,9
9_47,,-2,27
9_48,,2,27
9_49,,-4,25
10_1,17/15,0,17
10_2,23/8,-6,23
10_3,25/6,0,25
10_4,27/20,2,27
10_5,33/13,4,33
10_6,37/16,-4,37
10_7,43/16,-2,43
10_8,29/6,-4,29
10_9,39/28,-2,39
10_10,45/17,0,45
10_11,43/13,-2,43
10_12,47/17,2,47
10_13,53/22,0,53
