Alternating,Fibered,Crossing Number,Unknotting Number,Genus-3D,Crosscap Number,Bridge Index,Braid Index,Braid Length,Signature,Nakanishi Index,Arc Index,Tunnel Number,Morse-Novikov Number,Genus-4D,Genus-4D (Top.),Concordance Genus,Determinant,Rasmussen s,Ozsvath-Szabo tau,Volume,Arf Invariant,Turaev Genus,Small or Large,Positive Braid,Positive,SQ-Positive,Q-Positive,Width,L-space,Epsilon,Quasialternating,Almost Alternating,Double Slice Genus
1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,-2.0,1.0,5.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,0.0,2.0
1.0,1.0,4.0,1.0,1.0,2.0,2.0,3.0,4.0,0.0,1.0,6.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,2.029883213,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0
1.0,1.0,5.0,2.0,2.0,1.0,2.0,2.0,5.0,-4.0,1.0,7.0,1.0,0.0,2.0,2.0,2.0,5.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,0.0,4.0
1.0,0.0,5.0,1.0,1.0,2.0,2.0,3.0,6.0,-2.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,7.0,2.0,1.0,2.828122088,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,1.0,1.0,0.0,2.0
1.0,0.0,6.0,1.0,1.0,2.0,2.0,4.0,7.0,0.0,1.0,8.0,1.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,3.163963229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,6.0,1.0,2.0,2.0,2.0,3.0,6.0,-2.0,1.0,8.0,1.0,0.0,1.0,1.0,2.0,11.0,2.0,1.0,4.400832516,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,2.0
1.0,1.0,6.0,1.0,2.0,3.0,2.0,3.0,6.0,0.0,1.0,8.0,1.0,0.0,1.0,1.0,2.0,13.0,0.0,0.0,5.693021091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0
1.0,1.0,7.0,3.0,3.0,1.0,2.0,2.0,7.0,-6.0,1.0,9.0,1.0,0.0,3.0,3.0,3.0,7.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,0.0,6.0
1.0,0.0,7.0,1.0,1.0,2.0,2.0,4.0,9.0,-2.0,1.0,9.0,1.0,2.0,1.0,1.0,1.0,11.0,2.0,1.0,3.331744232,1.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,1.0,1.0,0.0,2.0
1.0,0.0,7.0,2.0,2.0,2.0,2.0,3.0,8.0,-4.0,1.0,9.0,1.0,2.0,2.0,2.0,2.0,13.0,4.0,2.0,4.592125697,1.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,1.0,1.0,0.0,4.0
1.0,0.0,7.0,2.0,1.0,3.0,2.0,4.0,9.0,-2.0,1.0,9.0,1.0,2.0,1.0,1.0,1.0,15.0,2.0,1.0,5.137941202,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,1.0,1.0,0.0,2.0
1.0,0.0,7.0,2.0,2.0,3.0,2.0,3.0,8.0,-4.0,1.0,9.0,1.0,2.0,2.0,2.0,2.0,17.0,4.0,2.0,6.443537381,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,1.0,1.0,0.0,4.0
1.0,1.0,7.0,1.0,2.0,3.0,2.0,4.0,7.0,-2.0,1.0,9.0,1.0,0.0,1.0,1.0,2.0,19.0,2.0,1.0,7.084925954,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,2.0
1.0,1.0,7.0,1.0,2.0,3.0,2.0,4.0,7.0,0.0,1.0,9.0,1.0,0.0,1.0,1.0,2.0,21.0,0.0,0.0,7.643375172,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0
1.0,0.0,8.0,1.0,1.0,2.0,2.0,5.0,10.0,0.0,1.0,10.0,1.0,2.0,1.0,1.0,1.0,13.0,0.0,0.0,3.427205246,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0
1.0,1.0,8.0,2.0,3.0,2.0,2.0,3.0,8.0,-4.0,1.0,10.0,1.0,0.0,2.0,2.0,3.0,17.0,4.0,2.0,4.935242678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,4.0
1.0,0.0,8.0,2.0,1.0,3.0,2.0,5.0,10.0,0.0,1.0,10.0,1.0,2.0,1.0,1.0,1.0,17.0,0.0,0.0,5.238684101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0
1.0,0.0,8.0,2.0,2.0,2.0,2.0,4.0,9.0,2.0,1.0,10.0,1.0,2.0,1.0,1.0,2.0,19.0,-2.0,-1.0,5.500486416,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-1.0,1.0,0.0,2.0
1.0,1.0,8.0,2.0,3.0,2.0,3.0,3.0,8.0,-4.0,1.0,10.0,1.0,0.0,2.0,2.0,3.0,21.0,4.0,2.0,6.997189148,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,1.0,0.0,4.0
1.0,0.0,8.0,2.0,2.0,3.0,2.0,4.0,9.0,-2.0,1.0,10.0,1.0,2.0,1.0,1.0,2.0,23.0,2.0,1.0,7.47523743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,2.0
1.0,1.0,8.0,1.0,3.0,3.0,2.0,3.0,8.0,2.0,1.0,10.0,1.0,0.0,1.0,1.0,3.0,23.0,-2.0,-1.0,7.022196589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-1.0,1.0,0.0,2.0
1.0,0.0,8.0,2.0,2.0,3.0,2.0,4.0,9.0,0.0,1.0,10.0,1.0,2.0,0.0,0.0,0.0,25.0,0.0,0.0,7.801341224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,8.0,1.0,3.0,3.0,2.0,3.0,8.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,7.588180224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,8.0,2.0,3.0,3.0,3.0,3.0,8.0,2.0,1.0,10.0,1.0,0.0,1.0,1.0,1.0,27.0,-2.0,-1.0,8.651148558,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,-1.0,1.0,0.0,2.0
1.0,0.0,8.0,1.0,2.0,3.0,2.0,4.0,9.0,-2.0,1.0,10.0,1.0,2.0,1.0,1.0,1.0,27.0,2.0,1.0,8.286316818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,2.0
1.0,1.0,8.0,2.0,2.0,4.0,2.0,5.0,8.0,0.0,1.0,10.0,1.0,0.0,1.0,1.0,2.0,29.0,0.0,0.0,8.935856928,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0
1.0,0.0,8.0,1.0,2.0,3.0,2.0,4.0,9.0,0.0,1.0,10.0,1.0,2.0,1.0,1.0,2.0,29.0,0.0,0.0,8.531232202,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0
1.0,0.0,8.0,1.0,2.0,4.0,2.0,4.0,9.0,-2.0,1.0,10.0,1.0,2.0,1.0,1.0,2.0,31.0,2.0,1.0,9.217800316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,2.0
1.0,0.0,8.0,2.0,2.0,4.0,3.0,4.0,9.0,-4.0,1.0,10.0,1.0,2.0,2.0,2.0,2.0,33.0,4.0,2.0,9.930648294,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18.0,0.0,1.0,1.0,0.0,4.0
1.0,1.0,8.0,2.0,3.0,3.0,3.0,3.0,8.0,2.0,1.0,10.0,2.0,0.0,1.0,1.0,3.0,35.0,-2.0,-1.0,10.57902192,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,-1.0,1.0,0.0,2.0
1.0,1.0,8.0,1.0,3.0,4.0,3.0,3.0,8.0,0.0,1.0,10.0,2.0,0.0,1.0,1.0,3.0,37.0,0.0,0.0,10.98590761,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,2.0
1.0,1.0,8.0,2.0,3.0,4.0,3.0,3.0,8.0,0.0,2.0,10.0,2.0,0.0,1.0,1.0,3.0,45.0,0.0,0.0,12.35090621,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,2.0
0.0,1.0,8.0,3.0,3.0,2.0,3.0,3.0,8.0,-6.0,1.0,7.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,0.0,1.0,6.0
0.0,1.0,8.0,1.0,2.0,2.0,3.0,3.0,8.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,4.124903252,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,1.0,1.0,1.0
0.0,1.0,8.0,1.0,2.0,3.0,3.0,3.0,8.0,-2.0,1.0,8.0,1.0,0.0,1.0,1.0,2.0,15.0,2.0,1.0,6.78371352,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,1.0,1.0,1.0,2.0
1.0,1.0,9.0,4.0,4.0,1.0,2.0,2.0,9.0,-8.0,1.0,11.0,1.0,0.0,4.0,4.0,4.0,9.0,8.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,0.0,8.0
