Name,Two-Bridge Notation,Signature,Determinant,Planar Support,Delta Values,Size of Homology,Parity
8_19,,-6,3,2,"{4, 6}",11,1.0
9_42,,2,7,2,"{0, -2}",9,0.0
9_43,,-4,13,2,"{2, 4}",21,0.0
9_47,,-2,27,2,"{0, 2}",35,0.0
10_124,,-8,1,2,"{8, 6}",17,1.0
10_125,,2,11,2,"{0, -2}",13,1.0
10_128,,-6,11,2,"{4, 6}",27,0.0
10_132,,0,5,2,"{0, -2}",11,0.0
10_134,,-6,23,2,"{4, 6}",31,0.0
10_136,,2,15,2,"{0, -2}",17,0.0
10_138,,-2,35,2,"{0, 2}",43,0.0
10_139,,-6,3,2,"{8, 6}",21,0.0
10_142,,-6,15,2,"{4, 6}",23,0.0
10_145,,2,3,2,"{-4, -2}",13,0.0
10_152,,-6,11,2,"{8, 6}",29,0.0
10_153,,0,1,2,"{0, -2}",25,0.0
10_154,,-4,13,2,"{4, 6}",27,0.0
10_160,,-4,21,2,"{2, 4}",29,0.0
10_161,,-4,5,2,"{4, 6}",19,0.0
11a_263,,-8,81,2,"{8, 6}",89,0.0
11n_2,,-4,57,2,"{2, 4}",65,0.0
11n_6,,0,17,2,"{0, -2}",41,0.0
11n_9,,-4,5,2,"{4, 6}",51,0.0
11n_12,,0,13,2,"{0, 2}",19,0.0
11n_13,,-6,15,2,"{4, 6}",31,0.0
11n_16,,-4,37,2,"{2, 4}",53,0.0
11n_19,,4,5,2,"{-4, -2}",19,0.0
11n_20,,2,23,2,"{0, -2}",25,0.0
11n_23,,-4,29,2,"{2, 4}",53,0.0
11n_24,,-2,23,2,"{0, 2}",25,0.0
11n_27,,-6,19,2,"{4, 6}",43,0.0
11n_30,,-4,33,2,"{2, 4}",41,0.0
11n_31,,-2,3,2,"{2, 4}",37,0.0
11n_34,,0,1,2,"{0, -2}",49,0.0
11n_36,,-2,67,2,"{0, 2}",83,0.0
11n_38,,-2,3,2,"{0, 2}",13,0.0
11n_39,,0,25,2,"{0, 2}",57,0.0
11n_41,,-4,53,2,"{2, 4}",77,0.0
11n_42,,0,1,2,"{0, -2}",49,0.0
11n_44,,-2,67,2,"{0, 2}",83,0.0
11n_45,,0,25,2,"{0, 2}",57,0.0
11n_47,,-4,53,2,"{2, 4}",77,0.0
11n_49,,0,1,2,"{0, 2}",17,0.0
11n_57,,-6,7,2,"{4, 6}",39,0.0
11n_60,,-2,31,2,"{0, 2}",47,0.0
11n_61,,-4,17,2,"{2, 4}",49,0.0
11n_64,,-4,21,2,"{2, 4}",37,0.0
11n_69,,-4,45,2,"{2, 4}",53,0.0
11n_70,,-4,13,2,"{2, 4}",19,0.0
11n_73,,0,9,2,"{0, 2}",41,0.0
11n_74,,0,9,2,"{0, 2}",41,0.0
11n_76,,4,45,2,"{-4, -2}",61,0.0
11n_77,,-6,27,2,"{8, 6}",45,0.0
11n_78,,-4,45,2,"{2, 4}",61,0.0
11n_79,,-2,15,2,"{0, 2}",17,0.0
11n_80,,2,15,2,"{-4, -2}",39,0.0
11n_81,,-6,27,2,"{4, 6}",51,0.0
11n_82,,-2,19,2,"{0, 2}",21,0.0
11n_88,,-6,11,2,"{4, 6}",35,0.0
11n_90,,-4,41,2,"{2, 4}",49,0.0
11n_92,,2,15,2,"{0, -2}",25,0.0
11n_93,,-6,47,2,"{4, 6}",55,0.0
11n_95,,-4,33,2,"{2, 4}",41,0.0
11n_96,,-2,7,2,"{0, 2}",33,0.0
11n_102,,2,3,2,"{0, -2}",19,0.0
11n_104,,-6,3,2,"{4, 6}",43,0.0
11n_107,,-4,21,2,"{2, 4}",45,0.0
11n_111,,-2,7,2,"{2, 4}",31,0.0
11n_116,,0,1,2,"{0, -2}",17,0.0
11n_118,,-4,21,2,"{2, 4}",29,0.0
11n_120,,-2,47,2,"{0, 2}",71,0.0
11n_126,,-6,27,2,"{4, 6}",51,0.0
11n_133,,-4,25,2,"{2, 4}",65,0.0
11n_135,,-4,5,2,"{2, 4}",29,0.0
11n_138,,-2,15,2,"{0, 2}",17,0.0
11n_143,,0,9,2,"{0, 2}",33,0.0
11n_145,,0,9,2,"{0, 2}",33,0.0
11n_147,,-4,37,2,"{2, 4}",69,0.0
11n_148,,-2,75,2,"{0, 2}",99,0.0
11n_149,,-4,33,2,"{2, 4}",57,0.0
11n_150,,-2,75,2,"{0, 2}",83,0.0
11n_151,,-2,23,2,"{2, 4}",55,0.0
11n_152,,-2,23,2,"{2, 4}",55,0.0
11n_153,,0,57,2,"{0, -2}",73,0.0
11n_155,,-2,51,2,"{0, 2}",67,0.0
11n_158,,-4,45,2,"{2, 4}",69,0.0
11n_166,,-2,59,2,"{0, 2}",83,0.0
11n_169,,-6,35,2,"{4, 6}",43,0.0
11n_173,,-4,45,2,"{2, 4}",77,0.0
11n_177,,-2,83,2,"{0, 2}",107,0.0
11n_182,,0,93,2,"{0, 2}",109,0.0
11n_183,,-4,21,2,"{4, 6}",35,0.0
