Name,Two-Bridge Notation,Signature,Determinant,Planar Support,Delta Values,Size of Homology,Parity,d_1 Lee Grading,d_{-1} Lee Grading
3_1,3/1,-2,3,1,{2},3,True,"[(-2, 2, 2)]","[(2, 2, -2)]"
4_1,5/2,0,5,1,{0},5,False,"[(0, 0, 0)]","[(0, 0, 0)]"
5_1,5/1,-4,5,1,{4},5,True,"[(-4, 4, 4)]","[(4, 4, -4)]"
5_2,7/3,-2,7,1,{2},7,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
6_1,9/7,0,9,1,{0},9,False,"[(0, 0, 0)]","[(0, 0, 0)]"
6_2,11/4,-2,11,1,{2},11,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
6_3,13/5,0,13,1,{0},13,False,"[(0, 0, 0)]","[(0, 0, 0)]"
7_1,7/1,-6,7,1,{6},7,True,"[(-6, 6, 6)]","[(6, 6, -6)]"
7_2,11/5,-2,11,1,{2},11,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
7_3,13/9,-4,13,1,{4},13,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
7_4,15/11,-2,15,1,{2},15,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
7_5,17/7,-4,17,1,{4},17,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
7_6,19/7,-2,19,1,{2},19,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
7_7,21/8,0,21,1,{0},21,False,"[(0, 0, 0)]","[(0, 0, 0)]"
8_1,13/11,0,13,1,{0},13,False,"[(0, 0, 0)]","[(0, 0, 0)]"
8_2,17/6,-4,17,1,{4},17,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
8_3,17/4,0,17,1,{0},17,False,"[(0, 0, 0)]","[(0, 0, 0)]"
8_4,19/14,2,19,1,{-2},19,False,"[(-2, 2, -2), (2, -2, -2)]","[(-2, -2, 2), (2, 2, -6)]"
8_5,,-4,21,1,{4},21,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
8_6,23/10,-2,23,1,{2},23,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
8_7,23/9,2,23,1,{-2},23,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
8_8,25/9,0,25,1,{0},25,False,"[(0, 0, 0)]","[(0, 0, 0)]"
8_9,25/7,0,25,1,{0},25,False,"[(0, 0, 0)]","[(0, 0, 0)]"
8_10,,2,27,1,{-2},27,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
8_11,27/10,-2,27,1,{2},27,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
8_12,29/12,0,29,1,{0},29,False,"[(0, 0, 0)]","[(0, 0, 0)]"
8_13,29/11,0,29,1,{0},29,False,"[(0, 0, 0)]","[(0, 0, 0)]"
8_14,31/12,-2,31,1,{2},31,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
8_15,,-4,33,1,{4},33,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
8_16,,2,35,1,{-2},35,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
8_17,,0,37,1,{0},37,False,"[(0, 0, 0)]","[(0, 0, 0)]"
8_18,,0,45,1,{0},45,False,"[(0, 0, 0)]","[(0, 0, 0)]"
8_20,,0,9,1,{0},9,False,"[(0, 0, 0)]","[(0, 0, 0)]"
8_21,,-2,15,1,{2},15,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
9_1,9/1,-8,9,1,{8},9,True,"[(-8, 8, 8)]","[(8, 8, -8)]"
9_2,15/7,-2,15,1,{2},15,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
9_3,19/13,-6,19,1,{6},19,False,"[(-6, 6, 6)]","[(6, 6, -6)]"
9_4,21/5,-4,21,1,{4},21,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
9_5,23/17,-2,23,1,{2},23,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
9_6,27/5,-6,27,1,{6},27,False,"[(-6, 6, 6)]","[(6, 6, -6)]"
9_7,29/13,-4,29,1,{4},29,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
9_8,31/11,-2,31,1,{2},31,False,"[(-2, 2, 2), (2, -2, 2)]","[(-2, -2, 6), (2, 2, -2)]"
9_9,31/9,-6,31,1,{6},31,False,"[(-6, 6, 6)]","[(6, 6, -6)]"
9_10,33/23,-4,33,1,{4},33,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
9_11,33/14,4,33,1,{-4},33,False,"[(4, -4, -4)]","[(-4, -4, 4)]"
9_12,35/13,-2,35,1,{2},35,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
9_13,37/27,-4,37,1,{4},37,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
9_14,37/14,0,37,1,{0},37,False,"[(0, 0, 0)]","[(0, 0, 0)]"
9_15,39/16,2,39,1,{-2},39,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
9_16,,-6,39,1,{6},39,False,"[(-6, 6, 6)]","[(6, 6, -6)]"
9_17,39/14,-2,39,1,{2},39,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
