Name,Two-Bridge Notation,Signature,Determinant,Planar Support,Delta Values,Size of Homology,Parity
8_5,,-4,21,1,{4},21,0.0
8_10,,2,27,1,{-2},27,0.0
8_15,,-4,33,1,{4},33,0.0
8_16,,2,35,1,{-2},35,0.0
8_17,,0,37,1,{0},37,0.0
8_18,,0,45,1,{0},45,0.0
8_20,,0,9,1,{0},9,0.0
8_21,,-2,15,1,{2},15,0.0
9_16,,-6,39,1,{6},39,0.0
9_22,,-2,43,1,{2},43,0.0
9_24,,0,45,1,{0},45,0.0
9_25,,-2,47,1,{2},47,0.0
9_28,,-2,51,1,{2},51,0.0
9_29,,2,51,1,{-2},51,0.0
9_30,,0,53,1,{0},53,0.0
9_32,,2,59,1,{-2},59,0.0
9_33,,0,61,1,{0},61,0.0
9_34,,0,69,1,{0},69,0.0
9_35,,-2,27,1,{2},27,0.0
9_36,,4,37,1,{-4},37,0.0
9_37,,0,45,1,{0},45,0.0
9_38,,-4,57,1,{4},57,0.0
9_39,,2,55,1,{-2},55,0.0
9_40,,-2,75,1,{2},75,0.0
9_41,,0,49,1,{0},49,0.0
9_44,,0,17,1,{0},17,0.0
9_45,,2,23,1,{-2},23,0.0
9_46,,0,9,1,{0},9,0.0
9_48,,2,27,1,{-2},27,0.0
9_49,,-4,25,1,{4},25,0.0
10_46,,-6,31,1,{6},31,0.0
10_47,,4,41,1,{-4},41,0.0
10_48,,0,49,1,{0},49,0.0
10_49,,-6,59,1,{6},59,0.0
10_50,,-4,53,1,{4},53,0.0
10_51,,2,67,1,{-2},67,0.0
10_52,,-2,59,1,{2},59,0.0
10_53,,-4,73,1,{4},73,0.0
10_54,,2,47,1,{-2},47,0.0
10_55,,-4,61,1,{4},61,0.0
10_56,,-4,65,1,{4},65,0.0
10_57,,2,79,1,{-2},79,0.0
10_58,,0,65,1,{0},65,0.0
10_59,,-2,75,1,{2},75,0.0
10_60,,0,85,1,{0},85,0.0
10_61,,-4,33,1,{4},33,0.0
10_62,,4,45,1,{-4},45,0.0
10_63,,-4,57,1,{4},57,0.0
10_64,,-2,51,1,{2},51,0.0
10_65,,2,63,1,{-2},63,0.0
10_66,,-6,75,1,{6},75,0.0
10_67,,-2,63,1,{2},63,0.0
10_68,,0,57,1,{0},57,0.0
10_69,,2,87,1,{-2},87,0.0
10_70,,2,67,1,{-2},67,0.0
10_71,,0,77,1,{0},77,0.0
10_72,,-4,73,1,{4},73,0.0
10_73,,2,83,1,{-2},83,0.0
10_74,,-2,63,1,{2},63,0.0
10_75,,0,81,1,{0},81,0.0
10_76,,-4,57,1,{4},57,0.0
10_77,,2,63,1,{-2},63,0.0
10_78,,-4,69,1,{4},69,0.0
10_79,,0,61,1,{0},61,0.0
10_80,,-6,71,1,{6},71,0.0
