Name,Two-Bridge Notation,Signature,Determinant,Planar Support,Delta Values,Size of Homology,Parity
3_1,3/1,-2,3,1,{2},3,1.0
4_1,5/2,0,5,1,{0},5,0.0
5_1,5/1,-4,5,1,{4},5,1.0
5_2,7/3,-2,7,1,{2},7,0.0
6_1,9/7,0,9,1,{0},9,0.0
6_2,11/4,-2,11,1,{2},11,0.0
6_3,13/5,0,13,1,{0},13,0.0
7_1,7/1,-6,7,1,{6},7,1.0
7_2,11/5,-2,11,1,{2},11,0.0
7_3,13/9,-4,13,1,{4},13,0.0
7_4,15/11,-2,15,1,{2},15,0.0
7_5,17/7,-4,17,1,{4},17,0.0
7_6,19/7,-2,19,1,{2},19,0.0
7_7,21/8,0,21,1,{0},21,0.0
8_1,13/11,0,13,1,{0},13,0.0
8_2,17/6,-4,17,1,{4},17,0.0
8_3,17/4,0,17,1,{0},17,0.0
8_4,19/14,2,19,1,{-2},19,0.0
8_6,23/10,-2,23,1,{2},23,0.0
8_7,23/9,2,23,1,{-2},23,0.0
8_8,25/9,0,25,1,{0},25,0.0
8_9,25/7,0,25,1,{0},25,0.0
8_11,27/10,-2,27,1,{2},27,0.0
8_12,29/12,0,29,1,{0},29,0.0
8_13,29/11,0,29,1,{0},29,0.0
8_14,31/12,-2,31,1,{2},31,0.0
9_1,9/1,-8,9,1,{8},9,1.0
9_2,15/7,-2,15,1,{2},15,0.0
9_3,19/13,-6,19,1,{6},19,0.0
9_4,21/5,-4,21,1,{4},21,0.0
9_5,23/17,-2,23,1,{2},23,0.0
9_6,27/5,-6,27,1,{6},27,0.0
9_7,29/13,-4,29,1,{4},29,0.0
9_8,31/11,-2,31,1,{2},31,0.0
9_9,31/9,-6,31,1,{6},31,0.0
9_10,33/23,-4,33,1,{4},33,0.0
9_11,33/14,4,33,1,{-4},33,0.0
9_12,35/13,-2,35,1,{2},35,0.0
9_13,37/27,-4,37,1,{4},37,0.0
9_14,37/14,0,37,1,{0},37,0.0
9_15,39/16,2,39,1,{-2},39,0.0
9_17,39/14,-2,39,1,{2},39,0.0
9_18,41/17,-4,41,1,{4},41,0.0
9_19,41/16,0,41,1,{0},41,0.0
9_20,41/15,-4,41,1,{4},41,0.0
9_21,43/18,2,43,1,{-2},43,0.0
9_23,45/19,-4,45,1,{4},45,0.0
9_26,47/18,2,47,1,{-2},47,0.0
9_27,49/19,0,49,1,{0},49,0.0
9_31,55/21,-2,55,1,{2},55,0.0
10_1,17/15,0,17,1,{0},17,0.0
10_2,23/8,-6,23,1,{6},23,0.0
10_3,25/6,0,25,1,{0},25,0.0
10_4,27/20,2,27,1,{-2},27,0.0
10_5,33/13,4,33,1,{-4},33,0.0
10_6,37/16,-4,37,1,{4},37,0.0
10_7,43/16,-2,43,1,{2},43,0.0
10_8,29/6,-4,29,1,{4},29,0.0
10_9,39/28,-2,39,1,{2},39,0.0
10_10,45/17,0,45,1,{0},45,0.0
10_11,43/13,-2,43,1,{2},43,0.0
10_12,47/17,2,47,1,{-2},47,0.0
10_13,53/22,0,53,1,{0},53,0.0
10_14,57/22,-4,57,1,{4},57,0.0
10_15,43/19,2,43,1,{-2},43,0.0
10_16,47/33,-2,47,1,{2},47,0.0
10_17,41/9,0,41,1,{0},41,0.0
10_18,55/23,-2,55,1,{2},55,0.0
10_19,51/14,-2,51,1,{2},51,0.0
10_20,35/16,-2,35,1,{2},35,0.0
10_21,45/16,-4,45,1,{4},45,0.0
10_22,49/36,0,49,1,{0},49,0.0
10_23,59/23,2,59,1,{-2},59,0.0
10_24,55/24,-2,55,1,{2},55,0.0
10_25,65/24,-4,65,1,{4},65,0.0
10_26,61/44,0,61,1,{0},61,0.0
10_27,71/27,2,71,1,{-2},71,0.0
10_28,53/19,0,53,1,{0},53,0.0
10_29,63/26,-2,63,1,{2},63,0.0
10_30,67/26,-2,67,1,{2},67,0.0
10_31,57/25,0,57,1,{0},57,0.0
10_32,69/29,0,69,1,{0},69,0.0
10_33,65/18,0,65,1,{0},65,0.0
10_34,37/13,0,37,1,{0},37,0.0
10_35,49/20,0,49,1,{0},49,0.0
10_36,51/20,-2,51,1,{2},51,0.0
10_37,53/23,0,53,1,{0},53,0.0
10_38,59/25,-2,59,1,{2},59,0.0
10_39,61/22,-4,61,1,{4},61,0.0
10_40,75/29,2,75,1,{-2},75,0.0
10_41,71/26,-2,71,1,{2},71,0.0
10_42,81/31,0,81,1,{0},81,0.0
10_43,73/27,0,73,1,{0},73,0.0
10_44,79/30,-2,79,1,{2},79,0.0
10_45,89/34,0,89,1,{0},89,0.0
11a_13,61/28,0,61,1,{0},61,0.0
11a_59,43/23,-2,43,1,{2},43,0.0
11a_65,59/32,2,59,1,{-2},59,0.0
11a_75,83/36,-2,83,1,{2},83,0.0
11a_77,131/76,2,131,1,{-2},131,0.0
